coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
634824,P     ,I     ,0,0,0,2,2,0.666666667,0.333333333,1,0,1,0
635010,P     ,I     ,0,0,0,5,4,1,0.666666667,1,0,1,0
635184,P     ,I     ,0,0,0,1,1,1,1,2,0,1,0
635441,P     ,I     ,0,0,0,5,3,0.75,0.6,2,0,1,0
635466,P     ,I     ,0,0,0,1,1,1,0.5,1,0,1,0
635469,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
635604,P     ,I     ,0,0,0,3,3,0.75,0.5,1,0,0,0
635713,P     ,I     ,0,0,0,4,4,0.666666667,0.666666667,1,0,1,0
635839,P     ,I     ,0,0,0,1,1,1,0.25,1,0,0,0
636049,P     ,I     ,0,0,0,3,2,1,0.5,1,0,1,0
636128,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
636260,P     ,I     ,0,0,0,4,3,0.75,0.5,1,0,1,0
636505,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
636550,P     ,I     ,0,0,0,3,3,0.75,0.5,1,0,1,0
636552,P     ,I     ,0,0,0,3,3,1,0.5,1,0,0,0
636981,A     ,I     ,23,0,1,1,1,1,0.333333333,0,0,0,0
637022,A     ,I     ,24,0,1,1,1,1,1,0,1.098612289,0,0
637239,A     ,I     ,23,0,2,2,2,1,0.5,0,0,0,0
637441,A     ,I     ,27,0,1,2,1,1,0.2,0,1.098612289,1,0
637472,A     ,I     ,25,0,1,1,1,1,0.25,0,0,0,0
637503,A     ,I     ,59,0,1,1,1,1,0.5,0,0.693147181,0,0
637555,A     ,I     ,26,0,2,1,1,1,1,0,0,0,0
637658,I     ,S     ,50,0,0,3,3,1,0.5,0,1.791759469,1,0
638437,I     ,S     ,33,0,0,5,5,1,1,0,0,0,0
638772,A     ,I     ,29,0,1,1,1,1,1,0,0,1,0
638918,A     ,I     ,30,0,1,1,1,1,0.5,0,0,1,0
639107,I     ,I     ,0,0,0,8,6,1,1,1,0,0,0
639307,I     ,I     ,0,0,0,5,4,0.8,0.666666667,0,0,0,0
639315,I     ,I     ,0,0,0,4,4,0.666666667,0.666666667,0,1.386294361,1,0
639448,I     ,I     ,0,0,0,10,7,0.7,0.583333333,0,0,1,0
640233,A     ,I     ,28,0,1,2,2,0.4,0.333333333,0,0,1,0
641029,P     ,I     ,0,0,0,5,4,1,0.666666667,2,1.098612289,1,0
641058,A     ,I     ,42,0,1,3,2,0.666666667,0.333333333,0,0,1,0
641687,I     ,S     ,0,0,0,1,1,1,1,0,0,0,0
641860,P     ,I     ,0,0,0,2,2,1,0.4,0,0,1,0
641940,P     ,I     ,0,0,0,11,5,1,0.714285714,1,0.693147181,1,0
641973,I     ,I     ,0,0,0,5,5,1,1,2,1.098612289,1,0
642318,A     ,I     ,28,0,1,1,1,1,1,0,0,1,0
642486,A     ,I     ,28,0,2,1,1,1,0.5,0,0,0,0
643388,A     ,S     ,28,0,2,2,1,1,1,0,0,1,0
643528,A     ,I     ,26,0,1,1,1,1,1,0,0,1,0
643543,A     ,I     ,26,0,1,1,1,1,0.5,0,0,0,0
644013,A     ,I     ,28,0,1,1,1,1,0.5,0,0,0,0
644084,A     ,I     ,29,0,1,3,2,0.666666667,0.5,0,1.791759469,1,0
644087,A     ,I     ,27,0,1,2,2,0.4,0.333333333,0,0,0,0
