"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
84414,10,10,2005,2014,10,9,0.9,0,0,0,0,0,1971,10,4,11,8,1949,5,25,1,1,9081,4,1,1,1,1,6,2,49,1,816,73864,50,0
84429,13,13,1997,2014,18,9,0.692308,0,0,0,0,0,1973,3,4,15,8,-1,-1,-1,1,1,115,4,1,1,1,1,15,2,96,2,153,66254,20,0
84434,18,16,1988,2009,22,5,0.277778,0,0,0,0,1,1977,0,4,31,8,-1,-1,-1,1,1,2529,2,1,1,2,2,76,1,118,1,297,84118,600,0
84440,19,15,1990,2014,25,0,0,0,0,0,0,0,1977,8,4,14,8,1954,7,15,4,1,8195,5,1,1,1,1,5,2,44,2,954,64696,350,1
84461,17,17,1989,2014,26,9,0.529412,0,0,1,0,0,1967,5,4,12,8,-1,-1,-1,3,1,8847,2,1,1,2,2,31,2,174,2,472,75616,50,1
84466,3,3,2011,2014,4,3,1,0,0,0,0,0,1968,0,3,5,8,1946,9,16,1,1,169,3,1,1,1,1,7,2,92,1,692,0,20,0
84478,25,21,1982,2014,33,15,0.6,0,0,2,0,0,1973,10,4,15,8,-1,-1,-1,1,1,10630,4,1,1,1,1,1,1,51,2,303,54359,50,1
84514,18,17,1987,2014,28,1,0.0555556,0,0,0,0,0,1970,6,4,32,8,-1,-1,-1,1,2,4303,3,1,1,2,2,15,1,22,2,33,38261,200,1
84538,29,27,1985,2014,30,14,0.482759,0,0,0,0,0,1974,13,3,12,8,-1,-1,-1,4,1,1476,3,1,1,2,2,6,2,173,1,765,42181,25,1
84552,10,9,2004,2014,11,10,1,0,0,2,0,1,1971,5,4,13,8,-1,-1,-1,1,1,11144,4,1,1,1,1,0,3,0,3,-1,74763,30,1
84566,62,34,-1,2014,2015,0,0,0,0,2,0,0,1971,22,2,28,8,-1,-1,-1,1,1,1041,5,1,1,2,2,7,1,237,2,413,72091,500,1
84584,45,27,1984,2014,31,21,0.466667,0,0,0,1,0,1971,31,4,32,8,1949,2,11,1,1,5493,2,1,1,1,1,1,1,186,2,931,66161,400,1
