core_id,method,age,type1,stype1,type2,phone,email,mail,assigned,no_contact,no_phone,no_email,no_mail,no_personal,no_ask,geo_dist,e_sols,m_sols,p_sols
22595,Staff,0,C     ,N     ,4,1,1,1,1,0,0,0,0,0,0,2,1,0,0
22628,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0
22840,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,2,0
23090,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
23929,Staff,67,I     ,I     ,1,1,0,1,1,0,0,0,0,0,0,2,0,0,1
24176,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
24178,Staff,0,I     ,I     ,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1
25853,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
26269,Lockbox,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,0,0
26488,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
26558,Staff,0,cf    ,N     ,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0
26658,Staff,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0
26743,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
26816,Staff,0,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,0,1
27512,Online Giving,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,2
27629,Staff,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0
27669,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0
28234,Lockbox,64,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,1,2,0
28260,Lockbox,0,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,2,0,1,1
28278,Staff,83,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,1,0,0
28618,Staff,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0
28670,Lockbox,0,F     ,N     ,5,0,0,1,1,0,0,0,1,0,0,2,0,0,0
29079,TOP Gift,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1
29833,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,1,1,1
30318,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1
30896,Online Giving,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
30897,Staff,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0
31030,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
31098,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0
31871,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0
33363,Lockbox,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0
34277,Staff,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,1,0,0
34686,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
35673,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
35702,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
35869,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
36264,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
36357,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
36665,Lockbox,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0
37076,Lockbox,81,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,5,2
37076,Staff,81,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,5,2
37366,Lockbox,0,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,2,0,3,1
40789,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
41044,TOP Gift,0,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,3,0,1,1
41469,Staff,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,3,1,0,1
43671,Staff,0,F     ,N     ,5,0,1,1,1,0,0,0,0,0,0,2,1,2,0
44343,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
45890,Staff,0,comf  ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0
46850,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
46851,Staff,84,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
47451,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0
47606,Lockbox,0,I     ,N     ,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0
47610,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,1
47649,Online Giving,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
47793,Lockbox,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1
